"01-09-2017","Koh-Lanta","TF1","Unknown","27.1%"
"01-09-2017","Les petits meurtres d'Agatha Christie","France 2","21h00","20.6%"
"01-09-2017","NCIS : enquêtes spéciales","M6","Unknown","12.4%"
"01-09-2017","SLC Salut les copains","France 3","20h55","7.5%"
"01-09-2017","Les routes de l'impossible","France 5","20h50","3.3%"
"01-09-2017","Enquête d'action","W9","21h00","2.7%"
"01-09-2017","Mentalist","TMC","21h00","2.6%"
"01-09-2017","Perpétuité pour deux","ARTE","20h55","2.3%"
"01-09-2017","Les éternels du rire","C8","21h00","2.0%"
"01-09-2017","1944 : Le Havre sous les bombes alliées","RMC","20h50","1.9%"
"01-09-2017","24 heures aux urgences","TFX","21h00","1.8%"
"01-09-2017","Soupçon de magie","6ter","21h00","1.5%"
"01-09-2017","Diane, femme flic","NRJ 12","20h55","1.3%"
"01-09-2017","Dinotasia","France 4","20h55","1.1%"
"01-09-2017","Clem","TF1 Séries Films","21h00","1.0%"
"01-09-2017","Le zap","CSTAR","20h50","0.8%"
"01-09-2017","Enquêtes codées","Chérie 25","20h55","0.8%"
"01-09-2017","Le petit dinosaure : Le jour du grand envol","Gulli","20h55","0.7%"
"01-09-2017","Turks and Caicos","France Ô","20h55","0.6%"
"01-09-2017","Gypsy Kids","Numéro 23","20h55","0.3%"
"02-09-2017","The Voice Kids","TF1","21h00","24.6%"
"02-09-2017","Commissaire Magellan","France 3","20h55","14.9%"
"02-09-2017","Fort Boyard","France 2","21h00","14.2%"
"02-09-2017","Bones","M6","21h00","9.2%"
"02-09-2017","Echappées belles","France 5","20h50","4.1%"
"02-09-2017","Un jour en Allemagne","ARTE","20h50","2.7%"
"02-09-2017","Les Simpson","W9","21h00","2.5%"
"02-09-2017","Chroniques criminelles","TFX","21h00","2.2%"
"02-09-2017","Inspecteur Barnaby","C8","21h00","2.0%"
"02-09-2017","Ma vie sauvage","RMC","Unknown","1.5%"
"02-09-2017","L'île mystérieuse","France 4","20h55","1.5%"
"02-09-2017","Les experts : Manhattan","TMC","21h00","1.1%"
"02-09-2017","Rénovation impossible","6ter","21h00","1.1%"
"02-09-2017","L'ombre d'un doute","Numéro 23","20h55","1.1%"
"02-09-2017","Le baby-sitter","Chérie 25","20h55","1.0%"
"02-09-2017","Une famille formidable","NRJ 12","20h55","0.9%"
"02-09-2017","Barbie : HéroÃ¯ne de jeu vidéo","Gulli","20h55","0.8%"
"02-09-2017","Génération talent show : les talents révélés","CSTAR","20h50","0.7%"
"02-09-2017","Les secrets du volcan","France Ô","20h55","0.7%"
"02-09-2017","Dr House","TF1 Séries Films","21h00","0.7%"
"03-09-2017","Football","TF1","Unknown","31.9%"
"03-09-2017","On a failli être amies","France 2","21h00","12.1%"
"03-09-2017","Les enquêtes de Murdoch","France 3","20h55","11.7%"
"03-09-2017","Zone interdite","M6","21h00","11.0%"
"03-09-2017","Les 100 lieux qu'il faut voir","France 5","20h50","3.8%"
"03-09-2017","Week-end Ã  Zuydcoote","ARTE","20h50","3.7%"
"03-09-2017","Baby-Sittor","6ter","21h00","3.5%"
"03-09-2017","Nikita","TFX","21h00","2.5%"
"03-09-2017","Lady Di : les enregistrements secrets, les images qui ont choqué l'Angleterre","TMC","21h00","2.1%"
"03-09-2017","Plan de table","W9","21h00","2.0%"
"03-09-2017","Du rififi Ã  Paname","C8","21h00","1.9%"
"03-09-2017","Feu de glace","NRJ 12","20h55","1.6%"
"03-09-2017","Une femme d'honneur","Chérie 25","20h55","1.5%"
"03-09-2017","Je reste !","TF1 Séries Films","21h00","1.4%"
"03-09-2017","Les gazelles","France 4","21h00","1.1%"
"03-09-2017","Chicago Fire","CSTAR","20h50","1.0%"
"03-09-2017","Dans la tourmente","Numéro 23","20h55","0.7%"
"03-09-2017","C'est pas sorcier","Gulli","20h55","0.6%"
"03-09-2017","Navires de guerre *2016","RMC","Unknown","0.5%"
"03-09-2017","Ces écoles françaises du bout du monde","France Ô","21h00","0.4%"
"04-09-2017","La mante","TF1","21h00","22.4%"
"04-09-2017","L'amour est dans le pré","M6","21h00","18.8%"
"04-09-2017","Rizzoli & Isles","France 2","21h00","13.0%"
"04-09-2017","The Homesman","France 3","20h55","8.4%"
"04-09-2017","Fast & Furious 6","TMC","Unknown","5.1%"
"04-09-2017","Armageddon","W9","21h00","4.2%"
"04-09-2017","Matrix","C8","21h00","3.6%"
"04-09-2017","Sur le chemin de l'école","France 5","20h50","3.3%"
